date,vix,vix3m,ratio,contango_status,skew,skew_alert,next_adjustment_date,days_to_adjustment
2025-08-08,15.15,18.70,1.234,コンタンゴ(順鞘),147.53,警戒(144超),2025-08-13,5
2025-08-11,16.25,19.25,1.185,コンタンゴ(順鞘),148.55,警戒(144超),2025-08-13,2
2025-08-12,14.73,18.34,1.245,コンタンゴ(順鞘),151.45,警戒(144超),2025-08-13,1
2025-08-13,14.49,18.33,1.265,コンタンゴ(順鞘),153.13,警戒(144超),2025-08-13,0
2025-08-14,14.83,18.49,1.247,コンタンゴ(順鞘),150.62,警戒(144超),2025-09-10,27
2025-08-15,15.09,18.64,1.235,コンタンゴ(順鞘),153.79,警戒(144超),2025-09-10,26
2025-08-18,14.99,18.45,1.231,コンタンゴ(順鞘),153.95,警戒(144超),2025-09-10,23
2025-08-19,15.57,18.90,1.214,コンタンゴ(順鞘),153.17,警戒(144超),2025-09-10,22
2025-08-20,15.69,19.10,1.217,コンタンゴ(順鞘),144.56,警戒(144超),2025-09-10,21
2025-08-21,16.60,19.41,1.169,コンタンゴ(順鞘),144.32,警戒(144超),2025-09-10,20
2025-08-22,14.22,17.76,1.249,コンタンゴ(順鞘),146.39,警戒(144超),2025-09-10,19
2025-08-25,14.79,18.02,1.218,コンタンゴ(順鞘),149.99,警戒(144超),2025-09-10,16
2025-08-26,14.62,17.90,1.224,コンタンゴ(順鞘),156.53,警戒(144超),2025-09-10,15
2025-08-27,14.85,17.94,1.208,コンタンゴ(順鞘),150.88,警戒(144超),2025-09-10,14
2025-08-28,14.43,17.72,1.228,コンタンゴ(順鞘),152.50,警戒(144超),2025-09-10,13
2025-08-29,15.36,18.35,1.195,コンタンゴ(順鞘),152.10,警戒(144超),2025-09-10,12
2025-09-02,17.17,19.38,1.129,コンタンゴ(順鞘),151.48,警戒(144超),2025-09-10,8
2025-09-03,16.35,18.93,1.158,コンタンゴ(順鞘),150.22,警戒(144超),2025-09-10,7
2025-09-04,15.30,18.39,1.202,コンタンゴ(順鞘),153.96,警戒(144超),2025-09-10,6
2025-09-05,15.18,18.42,1.213,コンタンゴ(順鞘),148.16,警戒(144超),2025-09-10,5
2025-09-08,15.11,18.29,1.210,コンタンゴ(順鞘),148.82,警戒(144超),2025-09-10,2
2025-09-09,15.04,18.27,1.215,コンタンゴ(順鞘),150.93,警戒(144超),2025-09-10,1
2025-09-10,15.35,18.44,1.201,コンタンゴ(順鞘),151.92,警戒(144超),2025-09-10,0
2025-09-11,14.71,18.03,1.226,コンタンゴ(順鞘),147.63,警戒(144超),2025-10-08,27
2025-09-12,14.76,18.06,1.224,コンタンゴ(順鞘),149.49,警戒(144超),2025-10-08,26
2025-09-15,15.69,18.53,1.181,コンタンゴ(順鞘),152.11,警戒(144超),2025-10-08,23
2025-09-16,16.36,18.91,1.156,コンタンゴ(順鞘),148.21,警戒(144超),2025-10-08,22
2025-09-17,15.72,18.44,1.173,コンタンゴ(順鞘),146.37,警戒(144超),2025-10-08,21
2025-09-18,15.70,18.52,1.180,コンタンゴ(順鞘),148.19,警戒(144超),2025-10-08,20
2025-09-19,15.45,18.48,1.196,コンタンゴ(順鞘),146.97,警戒(144超),2025-10-08,19
2025-09-22,16.10,18.95,1.177,コンタンゴ(順鞘),145.46,警戒(144超),2025-10-08,16
2025-09-23,16.64,19.44,1.168,コンタンゴ(順鞘),146.53,警戒(144超),2025-10-08,15
2025-09-24,16.18,19.14,1.183,コンタンゴ(順鞘),145.87,警戒(144超),2025-10-08,14
2025-09-25,16.74,19.46,1.162,コンタンゴ(順鞘),145.89,警戒(144超),2025-10-08,13
2025-09-26,15.29,18.41,1.204,コンタンゴ(順鞘),141.51,注意(140超),2025-10-08,12
2025-09-29,16.12,18.76,1.164,コンタンゴ(順鞘),143.03,注意(140超),2025-10-08,9
2025-09-30,16.28,18.77,1.153,コンタンゴ(順鞘),143.44,注意(140超),2025-10-08,8
2025-10-01,16.29,18.76,1.152,コンタンゴ(順鞘),143.68,注意(140超),2025-10-08,7
2025-10-02,16.63,18.89,1.136,コンタンゴ(順鞘),145.93,警戒(144超),2025-10-08,6
2025-10-03,16.65,19.08,1.146,コンタンゴ(順鞘),144.65,警戒(144超),2025-10-08,5
2025-10-06,16.37,19.12,1.168,コンタンゴ(順鞘),142.50,注意(140超),2025-10-08,2
2025-10-07,17.24,19.71,1.143,コンタンゴ(順鞘),145.22,警戒(144超),2025-10-08,1
2025-10-08,16.30,19.26,1.182,コンタンゴ(順鞘),145.76,警戒(144超),2025-10-08,0
2025-10-09,16.43,19.38,1.180,コンタンゴ(順鞘),145.34,警戒(144超),2025-11-12,34
2025-10-10,21.66,22.81,1.053,コンタンゴ(順鞘),138.86,通常,2025-11-12,33
2025-10-13,19.03,20.93,1.100,コンタンゴ(順鞘),142.81,注意(140超),2025-11-12,30
2025-10-14,20.81,22.03,1.059,コンタンゴ(順鞘),146.48,警戒(144超),2025-11-12,29
2025-10-15,20.64,21.94,1.063,コンタンゴ(順鞘),144.98,警戒(144超),2025-11-12,28
2025-10-16,25.31,24.87,0.983,バックワーデーション(逆鞘・警戒),147.14,警戒(144超),2025-11-12,27
2025-10-17,20.78,22.09,1.063,コンタンゴ(順鞘),147.63,警戒(144超),2025-11-12,26
2025-10-20,18.23,20.31,1.114,コンタンゴ(順鞘),151.31,警戒(144超),2025-11-12,23
2025-10-21,17.87,19.99,1.119,コンタンゴ(順鞘),149.95,警戒(144超),2025-11-12,22
2025-10-22,18.60,20.31,1.092,コンタンゴ(順鞘),152.85,警戒(144超),2025-11-12,21
2025-10-23,17.30,19.65,1.136,コンタンゴ(順鞘),154.34,警戒(144超),2025-11-12,20
2025-10-24,16.37,19.20,1.173,コンタンゴ(順鞘),153.49,警戒(144超),2025-11-12,19
2025-10-27,15.79,18.99,1.203,コンタンゴ(順鞘),148.50,警戒(144超),2025-11-12,16
2025-10-28,16.42,19.55,1.191,コンタンゴ(順鞘),140.37,注意(140超),2025-11-12,15
2025-10-29,16.92,19.83,1.172,コンタンゴ(順鞘),139.45,通常,2025-11-12,14
2025-10-30,16.91,19.98,1.182,コンタンゴ(順鞘),141.15,注意(140超),2025-11-12,13
2025-10-31,17.44,20.49,1.175,コンタンゴ(順鞘),142.78,注意(140超),2025-11-12,12
2025-11-03,17.17,20.38,1.187,コンタンゴ(順鞘),141.99,注意(140超),2025-11-12,9
2025-11-04,19.00,21.29,1.121,コンタンゴ(順鞘),144.01,警戒(144超),2025-11-12,8
2025-11-05,18.01,20.60,1.144,コンタンゴ(順鞘),143.64,注意(140超),2025-11-12,7
2025-11-06,19.50,21.35,1.095,コンタンゴ(順鞘),143.54,注意(140超),2025-11-12,6
2025-11-07,19.08,21.19,1.111,コンタンゴ(順鞘),141.27,注意(140超),2025-11-12,5
2025-11-10,17.60,20.24,1.150,コンタンゴ(順鞘),142.94,注意(140超),2025-11-12,2
2025-11-11,17.28,20.19,1.168,コンタンゴ(順鞘),143.45,注意(140超),2025-11-12,1
2025-11-12,17.51,20.34,1.162,コンタンゴ(順鞘),138.57,通常,2025-11-12,0
2025-11-13,20.00,21.85,1.093,コンタンゴ(順鞘),142.49,注意(140超),2025-12-10,27
2025-11-14,19.83,21.58,1.088,コンタンゴ(順鞘),137.93,通常,2025-12-10,26
2025-11-17,22.38,23.18,1.036,コンタンゴ(順鞘),140.90,注意(140超),2025-12-10,23
2025-11-18,24.69,24.54,0.994,バックワーデーション(逆鞘・警戒),142.98,注意(140超),2025-12-10,22
2025-11-19,23.66,23.99,1.014,コンタンゴ(順鞘),143.05,注意(140超),2025-12-10,21
2025-11-20,26.42,25.76,0.975,バックワーデーション(逆鞘・警戒),144.96,警戒(144超),2025-12-10,20
